,R,horse_id,オッズ,タイム,ペース,レース名,上り,人気,備考,勝ち馬(2着馬),厩舎ｺﾒﾝﾄ,天気,斤量,日付,映像,枠番,着差,着順,賞金,距離,通過,開催,頭数,馬体重,馬場,馬場指数,馬番,騎手,ﾀｲﾑ指数,コースタイプ,ペース前半,ペース後半,馬体重増減
1,1,2016103713,6.7,0:58.8,34.6-35.8,201910010701,35.8,4,"


 
",(メイショウメイリン),"

",晴,56,2019/03/02,"

",2,-0.1,1,500.0,1000,1-1,1小倉7,14,504,稍,"

**

",2,"
藤岡康太
","

**

",ダ,34.6,35.8,+2
2,1,2016103713,2.8,1:00.5,34.5-37.0,201910010101,37.8,1,"


 
",ユニキャラ,"

",小雨,56,2019/02/09,"

",2,0.8,4,75.0,1000,1-1,1小倉1,13,502,稍,"

**

",2,"
藤岡康太
","

**

",ダ,34.5,37.0,0
3,1,2016103713,4.2,1:13.7,35.1-38.1,201808050801,38.5,2,"


 
",レサイヤ,"

",晴,53,2018/11/25,"

",7,0.5,2,200.0,1200,2-2,5京都8,16,502,良,"

**

",13,"
藤田菜七
","

**

",ダ,35.1,38.1,+6
4,2,2016103713,10.0,1:09.5,34.3-34.9,201803030102,35.2,4,"


 
",ナタラディーヴァ,"

",晴,53,2018/11/03,"

",6,0.3,3,130.0,1200,1-2,3福島1,16,496,良,"

**

",12,"
藤田菜七
","

**

",芝,34.3,34.9,-6
5,4,2016103713,5.5,1:11.3,35.2-34.8,201808040704,36.1,3,"


 
",ワールドウォッチ,"

",晴,55,2018/10/21,"

",7,1.3,4,110.0,1200,1-1,4京都7,10,502,良,"

**

",8,"
北村宏司
","

**

",芝,35.2,34.8,0
1,3,2016102207,2.8,1:14.8,35.7-37.8,201907020503,38.6,1,"



",エルズリー,"

",曇,53,2019/03/23,"

",2,1.3,11, ,1200,8-8,2中京5,16,460,良,"

**

",3,"
西村淳也
","

**

",ダ,35.7,37.8,+4
2,1,2016102207,3.8,0:58.9,34.6-35.8,201910010701,35.8,2,"


 
",モズベイビー,"

",晴,56,2019/03/02,"

",4,0.1,2,200.0,1000,2-2,1小倉7,14,456,稍,"

**

",5,"
幸英明
","

**

",ダ,34.6,35.8,+2
3,1,2016102207,3.2,1:00.0,34.5-37.0,201910010101,36.8,2,"


 
",ユニキャラ,"

",小雨,53,2019/02/09,"

",1,0.3,2,200.0,1000,4-3,1小倉1,13,454,稍,"

**

",1,"
西村淳也
","

**

",ダ,34.5,37.0,-4
4,1,2016102207,3.4,1:13.1,35.8-36.9,201809050301,37.1,3,"


 
",ショウブ,"

",晴,55,2018/12/08,"

",7,0.4,5,50.0,1200,2-2,5阪神3,12,458,稍,"

**

",10,"
松若風馬
","

**

",ダ,35.8,36.9,+4
5,6,2016102207,5.8,1:13.1,35.0-37.3,201808050506,37.9,3,"


 
",モンペルデュ,"

",曇,55,2018/11/17,"

",1,0.8,3,180.0,1200,3-2,5京都5,16,454,良,"

**

",1,"
酒井学
","

**

",ダ,35.0,37.3,0
1,3,2016105008,2.8,1:14.1,36.0-38.1,201907020403,37.9,1,"


 
",(コパノジョウオー),"

",曇,51,2019/03/17,"

",7,-0.2,1,500.0,1200,2-3,2中京4,16,424,良,"

**

",14,"
西村淳也
","

**

",ダ,36.0,38.1,-4
2,1,2016105008,3.1,0:59.2,34.6-35.8,201910010701,35.8,1,"



",モズベイビー,"

",晴,51,2019/03/02,"

",3,0.4,3,130.0,1000,5-3,1小倉7,14,428,稍,"

**

",3,"
西村淳也
","

**

",ダ,34.6,35.8,-2
3,1,2016105008,1.8,1:14.2,35.9-38.0,201908020301,38.2,1,"


 
",スナークスター,"

",晴,54,2019/02/02,"

",5,0.3,3,130.0,1200,2-2,2京都3,15,430,稍,"

**

",9,"
Ｍ．デム
","

**

",ダ,35.9,38.0,0
4,1,2016105008,1.3,1:14.9,36.4-38.3,201908020201,38.1,1,"



",シルバークレイン,"

",曇,54,2019/01/27,"

",5,0.2,3,130.0,1200,4-4,2京都2,13,430,良,"

**

",6,"
Ｍ．デム
","

**

",ダ,36.4,38.3,+6
5,1,2016105008,6.4,1:13.0,35.7-37.3,201809050101,37.3,3,"


 
",オーヴェルニュ,"

",晴,54,2018/12/01,"

",8,0.0,3,130.0,1200,1-1,5阪神1,10,424,良,"

**

",9,"
岩田康誠
","

**

",ダ,35.7,37.3,-2
6,6,2016105008,2.4,1:13.2,35.0-37.3,201808050506,37.4,1,"


 
",モンペルデュ,"

",曇,54,2018/11/17,"

",6,0.9,4,110.0,1200,5-5,5京都5,16,426,良,"

**

",12,"
岩田康誠
","

**

",ダ,35.0,37.3,0
1,3,2016101473,16.0,1:15.2,34.5-39.1,201906030203,40.4,7,"


 
",オルクリスト,"

",晴,56,2019/03/24,"

",2,1.6,11, ,1200,4-4,3中山2,16,452,良,"

**

",4,"
丹内祐次
","

**

",ダ,34.5,39.1,-2
2,1,2016101473,7.0,0:59.5,34.6-35.8,201910010701,36.1,5,"



",モズベイビー,"

",晴,56,2019/03/02,"

",3,0.7,4,75.0,1000,5-3,1小倉7,14,454,稍,"

**

",4,"
菱田裕二
","

**

",ダ,34.6,35.8,-6
3,2,2016101473,22.7,0:59.8,34.9-36.5,201910010502,36.5,9,"


 
",ワンネス,"

",晴,56,2019/02/23,"

",6,0.2,2,200.0,1000,2-2,1小倉5,13,460,稍,"

**

",9,"
菱田裕二
","

**

",ダ,34.9,36.5,+6
4,3,2016101473,68.9,1:15.5,35.3-38.4,201907010403,39.4,10,"


 
",イチバンヤリ,"

",晴,56,2019/01/27,"

",5,1.8,7, ,1200,4-4,1中京4,15,454,良,"

**

",9,"
中井裕二
","

**

",ダ,35.3,38.4,-12
5,3,2016101473,63.5,1:14.5,34.5-38.9,201906010703,39.3,10,"


 
",トピアリスト,"

",晴,55,2019/01/20,"

",2,1.1,10, ,1200,8-8,1中山7,15,466,良,"

**

",4,"
武藤雅
","

**

",ダ,34.5,38.9,0
6,3,2016101473,21.2,1:14.1,34.1-38.1,201806050503,39.1,6,"


 
",オルダージュ,"

",晴,54,2018/12/15,"

",8,1.9,8, ,1200,11-11,5中山5,16,466,稍,"

**

",16,"
武藤雅
","

**

",ダ,34.1,38.1,+12
7,2,2016101473,46.9,1:13.2,35.3-36.9,201804030402,37.4,7,"


 
",ロンドンテソーロ,"

",晴,55,2018/10/21,"

",8,1.0,4,75.0,1200,5-4,3新潟4,14,454,稍,"

**

",14,"
西田雄一
","

**

",ダ,35.3,36.9,+6
8,2,2016101473,31.9,1:11.9,34.2-34.4,201806040402,35.3,7,"



",ホウオウカトリーヌ,"

",曇,54,2018/09/16,"

",2,3.3,16, ,1200,16-16,4中山4,16,448,稍,"

**

",4,"
田辺裕信
","

**

",芝,34.2,34.4,+2
9,5,2016101473,33.4,1:11.7,34.5-35.7,201803020105,37.1,8,"


 
",ハナブショウ,"

",晴,54,2018/06/30,"

",8,1.5,7, ,1200,2-2,2福島1,12,446,良,"

**

",12,"
西田雄一
","

**

",芝,34.5,35.7,0
1,3,2016100180,22.3,1:13.7,35.7-37.8,201907020503,37.7,8,"


 
",エルズリー,"

",曇,54,2019/03/23,"

",2,0.2,3,130.0,1200,5-5,2中京5,16,454,良,"

**

",4,"
鮫島克駿
","

**

",ダ,35.7,37.8,+2
2,1,2016100180,5.4,0:59.6,34.6-35.8,201910010701,35.9,3,"



",モズベイビー,"

",晴,51,2019/03/02,"

",6,0.8,5,50.0,1000,8-9,1小倉7,14,452,稍,"

**

",10,"
斎藤新
","

**

",ダ,34.6,35.8,0
3,2,2016100180,6.2,1:00.5,34.6-37.5,201910010302,36.2,3,"



",サトノアイビス,"

",曇,54,2019/02/16,"

",3,0.0,2,200.0,1000,12-12,1小倉3,14,452,稍,"

**

",4,"
鮫島克駿
","

**

",ダ,34.6,37.5,-14
4,1,2016100180,25.7,1:26.2,35.3-37.7,201809050701,38.7,8,"


 
",ペイシャクレア,"

",雨,54,2018/12/22,"

",7,1.2,9, ,1400,2-2,5阪神7,16,466,稍,"

**

",13,"
武豊
","

**

",ダ,35.3,37.7,-6
5,2,2016100180,5.2,1:56.8,38.1-38.4,201809050302,40.2,3,"


 
",メスキータ,"

",晴,54,2018/12/08,"

",8,1.8,4,75.0,1800,2-2-2-2,5阪神3,9,472,稍,"

**

",8,"
武豊
","

**

",ダ,38.1,38.4,+4
6,4,2016100180,20.5,1:50.7,37.7-33.5,201805050804,34.6,6,"


 
",ラストドラフト,"

",晴,54,2018/11/25,"

",6,1.1,6, ,1800,1-1-1,5東京8,11,468,良,"

**

",6,"
武豊
","

**

",芝,37.7,33.5,0
1,1,2016106213,35.1,0:59.9,34.6-35.8,201910010701,36.6,9,"


 
",モズベイビー,"

",晴,56,2019/03/02,"

",7,1.1,6, ,1000,3-3,1小倉7,14,486,稍,"

**

",11,"
小崎綾也
","

**

",ダ,34.6,35.8,-2
2,1,2016106213,113.3,1:14.5,35.8-38.1,201908010701,38.3,12,"


 
",アスカノダイチ,"

",雨,56,2019/01/20,"

",3,0.6,7, ,1200,5-5,1京都7,16,488,良,"

**

",6,"
柴山雄一
","

**

",ダ,35.8,38.1,-2
3,2,2016106213,40.6,1:14.5,36.1-37.0,201908010302,37.8,7,"


 
",タガノコルソ,"

",曇,56,2019/01/12,"

",7,1.4,7, ,1200,7-7,1京都3,15,490,良,"

**

",14,"
和田竜二
","

**

",ダ,36.1,37.0,-2
4,6,2016106213,176.0,1:14.5,35.5-37.3,201809050506,37.6,12,"



",プリンシアルーチェ,"

",晴,55,2018/12/15,"

",7,1.7,9, ,1200,10-10,5阪神5,16,492,良,"

**

",13,"
小牧太
","

**

",ダ,35.5,37.3,0
1,2,2016101345,39.2,1:27.6,35.7-38.1,201909020102,38.8,9,"


 
",マイネルプリサイス,"

",曇,54,2019/03/23,"

",3,1.3,8, ,1400,5-8,2阪神1,16,436,稍,"

**

",6,"
浜中俊
","

**

",ダ,35.7,38.1,0
2,1,2016101345,21.1,0:59.9,34.6-35.8,201910010701,36.3,7,"


 
",モズベイビー,"

",晴,53,2019/03/02,"

",5,1.1,7, ,1000,8-6,1小倉7,14,436,稍,"

**

",8,"
森裕太朗
","

**

",ダ,34.6,35.8,+6
3,2,2016101345,36.9,1:13.9,35.4-37.2,201808050602,37.2,8,"


 
",カネコメアサヒ,"

",晴,54,2018/11/18,"

",2,1.3,7, ,1200,9-9,5京都6,16,430,良,"

**

",3,"
藤岡佑介
","

**

",ダ,35.4,37.2,-10
4,1,2016101345,41.1,1:13.7,36.1-36.6,201808050101,36.9,7,"


 
",ブルベアイリーデ,"

",晴,54,2018/11/03,"

",4,1.0,4,75.0,1200,5-4,5京都1,12,440,良,"

**

",4,"
藤岡佑介
","

**

",ダ,36.1,36.6,0
5,1,2016101345,73.5,1:14.8,36.5-37.4,201808040501,38.1,9,"


 
",ハクサンウェーブ,"

",晴,54,2018/10/14,"

",3,0.9,7, ,1200,3-3,4京都5,10,440,良,"

**

",3,"
藤岡佑介
","

**

",ダ,36.5,37.4,-2
6,4,2016101345,148.2,1:27.8,35.0-38.6,201808040104,39.5,16,"


 
",スマートモリガン,"

",晴,54,2018/10/06,"

",8,1.6,9, ,1400,9-9,4京都1,16,442,稍,"

**

",15,"
鮫島克駿
","

**

",ダ,35.0,38.6,0
1,2,2016109083,131.8,1:17.5,36.0-37.4,201909020302,40.7,13,"


 
",シーシャープ,"

",曇,55,2019/03/30,"

",4,4.1,16, ,1200,8-9,2阪神3,16,454,良,"


 
",7,"
森裕太朗
","


 
",ダ,36.0,37.4,+2
2,1,2016109083,15.0,1:00.5,34.6-35.8,201910010701,37.0,6,"


 
",モズベイビー,"

",晴,56,2019/03/02,"

",7,1.7,8, ,1000,5-6,1小倉7,14,452,稍,"

**

",12,"
吉田隼人
","

**

",ダ,34.6,35.8,0
3,2,2016109083,26.9,1:15.5,35.9-36.9,201908020702,39.4,7,"


 
",シャドウハンター,"

",曇,56,2019/02/16,"

",7,2.7,5,50.0,1200,2-2,2京都7,14,452,良,"

**

",12,"
佐藤友則
","

**

",ダ,35.9,36.9,0
4,3,2016109083,8.4,1:16.7,35.3-38.4,201907010403,40.0,5,"


 
",イチバンヤリ,"

",晴,56,2019/01/27,"

",7,3.0,11, ,1200,10-10,1中京4,15,452,良,"

**

",13,"
松若風馬
","

**

",ダ,35.3,38.4,0
5,2,2016109083,27.4,1:15.5,35.9-37.7,201908010202,39.1,7,"


 
",マゼ,"

",曇,56,2019/01/06,"

",1,1.9,9, ,1200,5-5,1京都2,16,452,良,"

**

",1,"
松若風馬
","

**

",ダ,35.9,37.7,-2
6,1,2016109083,53.6,1:13.9,35.5-37.9,201809050601,38.2,8,"


 
",ヘルメット,"

",晴,55,2018/12/16,"

",8,0.5,5,50.0,1200,2-2,5阪神6,15,454,良,"

**

",15,"
高倉稜
","

**

",ダ,35.5,37.9,-4
7,1,2016109083,7.9,1:14.0,35.1-38.1,201808050801,37.8,4,"


 
",レサイヤ,"

",晴,55,2018/11/25,"

",2,0.8,6, ,1200,6-5,5京都8,16,458,良,"

**

",4,"
松若風馬
","

**

",ダ,35.1,38.1,+10
8,1,2016109083,23.0,1:13.8,36.1-36.6,201808050101,37.6,6,"


 
",ブルベアイリーデ,"

",晴,55,2018/11/03,"

",7,1.1,5,50.0,1200,2-2,5京都1,12,448,良,"

**

",9,"
幸英明
","

**

",ダ,36.1,36.6,-6
9,1,2016109083,11.0,1:15.2,36.5-37.4,201808040501,38.0,5,"


 
",ハクサンウェーブ,"

",晴,55,2018/10/14,"

",7,1.3,8, ,1200,8-7,4京都5,10,454,良,"

**

",8,"
秋山真一
","

**

",ダ,36.5,37.4,-2
10,1,2016109083,53.0,1:15.3,35.1-37.5,201807030701,39.6,11,"


 
",アールロッソ,"

",晴,54,2018/07/21,"

",6,2.7,12, ,1200,7-8,3中京7,16,456,良,"

**

",11,"
鮫島克駿
","

**

",ダ,35.1,37.5,-2
11,1,2016109083,7.7,1:10.2,34.3-35.0,201807030301,35.6,4,"


 
",セプタリアン,"

",曇,54,2018/07/07,"

",3,0.9,5,50.0,1200,3-3,3中京3,8,458,重,"

**

",3,"
松若風馬
","

**

",芝,34.3,35.0,-8
12,5,2016109083,16.7,1:14.5,35.5-38.3,201809030505,38.1,6,"


 
",チュウワフライヤー,"

",晴,54,2018/06/16,"

",8,0.7,5,70.0,1200,9-10,3阪神5,15,466,良,"

**

",16,"
松若風馬
","

**

",ダ,35.5,38.3,0
1,2,2016103686,37.4,1:27.6,34.6-39.1,201909020402,39.9,9,"


 
",モルトグランデ,"

",晴,56,2019/03/31,"

",2,1.5,9, ,1400,8-6,2阪神4,16,554,稍,"


 
",3,"
鮫島克駿
","


 
",ダ,34.6,39.1,0
2,2,2016103686,98.8,1:27.0,35.8-38.2,201909010702,38.1,12,"


 
",タゴム,"

",曇,56,2019/03/16,"

",7,0.4,5,50.0,1400,5-6,1阪神7,16,554,稍,"

**

",13,"
鮫島克駿
","

**

",ダ,35.8,38.2,-6
3,1,2016103686,152.6,1:00.6,34.6-35.8,201910010701,35.8,11,"



",モズベイビー,"

",晴,56,2019/03/02,"

",4,1.8,9, ,1000,13-13,1小倉7,14,560,稍,"

**

",6,"
水口優也
","

**

",ダ,34.6,35.8,-26
4,6,2016103686,277.1,1:30.1,35.6-36.2,201809050706,39.9,13,"



",メイショウウズマサ,"

",曇,54,2018/12/22,"

",1,5.7,16, ,1400,15-16,5阪神7,16,586,稍,"

**

",1,"
坂井瑠星
","

**

",ダ,35.6,36.2,0
1,2,2016103711,188.8,1:14.8,36.1-36.6,201909010602,38.3,13,"


 
",モズカプリッチョ,"

",小雨,56,2019/03/10,"

",3,2.1,6, ,1200,4-4,1阪神6,15,486,稍,"

**

",4,"
長岡禎仁
","

**

",ダ,36.1,36.6,+6
2,1,2016103711,29.4,1:00.8,34.6-35.8,201910010701,37.1,8,"



",モズベイビー,"

",晴,55,2019/03/02,"

",8,2.0,10, ,1000,8-10,1小倉7,14,480,稍,"

**

",13,"
川又賢治
","

**

",ダ,34.6,35.8,-20
3,5,2016103711,61.6,1:14.8,34.6-37.8,201806050605,40.1,10,"


 
",ジャパンスウェプト,"

",晴,55,2018/12/16,"

",4,2.4,6, ,1200,2-2,5中山6,15,500,良,"

**

",7,"
長岡禎仁
","

**

",ダ,34.6,37.8,0
1,1,2016105232,195.9,1:01.3,34.6-35.8,201910010701,38.0,12,"



",モズベイビー,"

",晴,54,2019/03/02,"

",8,2.5,11, ,1000,3-6,1小倉7,14,422,稍,"

**

",14,"
中井裕二
","

**

",ダ,34.6,35.8,+6
2,6,2016105232,346.0,1:28.4,35.6-36.2,201809050706,39.9,14,"


 
",メイショウウズマサ,"

",曇,54,2018/12/22,"

",2,4.0,15, ,1400,4-7,5阪神7,16,416,稍,"

**

",3,"
中井裕二
","

**

",ダ,35.6,36.2,0
1,2,2016109137,339.2,1:16.2,34.1-38.0,201906030402,40.6,14,"


 
",フォークアート,"

",曇,52,2019/03/31,"

",2,4.1,15, ,1200,14-14,3中山4,16,426,稍,"


 
",4,"
菊沢一樹
","


 
",ダ,34.1,38.0,+4
2,1,2016109137,245.6,1:01.9,34.6-35.8,201910010701,37.4,13,"


 
",モズベイビー,"

",晴,54,2019/03/02,"

",1,3.1,12, ,1000,11-11,1小倉7,14,422,稍,"

**

",1,"
井上敏樹
","

**

",ダ,34.6,35.8,-4
3,2,2016109137,574.9,2:03.0,37.9-39.5,201906010702,43.7,16,"


 
",グッバイガール,"

",晴,54,2019/01/20,"

",1,5.4,16, ,1800,14-14-14-15,1中山7,16,426,良,"

**

",1,"
西田雄一
","

**

",ダ,37.9,39.5,-1
4,9,2016109137,39.2,1:34.4, ,201855121109,40.7,7,"


 
",カシノウィング,"

 
",雨,54,2018/12/11,"

 
",8,2.3,8, ,1400,8-8-8-8,佐賀,9,427,不,"

**

",8,"
鮫島克也
","

**

",ダ, ,,0
1,2,2016105953,323.8, ,35.6-38.3,201907020102, ,15,"


 
",メイショウフクイク,"

",晴,56,2019/03/09,"

",4, ,中, ,1200,13-15,2中京1,15,474,稍,"

**

",6,"
井上敏樹
","

**

",ダ,35.6,38.3,0
2,1,2016105953,246.5,1:02.0,34.6-35.8,201910010701,37.6,14,"



",モズベイビー,"

",晴,56,2019/03/02,"

",5,3.2,13, ,1000,11-11,1小倉7,14,474,稍,"

**

",7,"
西田雄一
","

**

",ダ,34.6,35.8,+12
3,5,2016105953,153.3,1:17.2,33.6-36.0,201810020705,39.9,12,"



",アズマヘリテージ,"

",晴,51,2018/08/18,"

",1,7.6,14, ,1200,13-14,2小倉7,14,462,良,"

**

",1,"
西村淳也
","

**

",芝,33.6,36.0,0
1,1,2016102435,123.1,1:03.5,34.6-35.8,201910010701,38.7,10,"


 
",モズベイビー,"

",晴,54,2019/03/02,"

",6,4.7,14, ,1000,13-14,1小倉7,14,476,稍,"

**

",9,"
義英真
","

**

",ダ,34.6,35.8,0
